preset,activation_threshold,gate_temperature,target_activation_rate,refractory,f1,precision,recall,tp,fp,fn,tn,energy_savings_pct,activations,total_inputs
ecg_v1,0.6,0.15,0.1,200,0.012639405204460967,0.14977973568281938,0.006598098195226082,34,193,5119,44654,90.46245630605306,227,4647
ecg_v1,0.6,0.15,0.12,0,0.1047557003257329,0.15939730372720062,0.0780128080729672,402,2120,4751,42727,90.29994400694596,2522,50000
ecg_v1,0.6,0.15,0.12,150,0.013585459886175875,0.12585034013605442,0.007180283330098972,37,257,5116,44590,90.4308006048461,294,5926
ecg_v1,0.6,0.15,0.12,200,0.011895910780669147,0.14096916299559473,0.006209974771977489,32,195,5121,44652,90.46868600470364,227,4630
ecg_v1,0.6,0.15,0.15,0,0.10613512813875227,0.15934706568208318,0.07956530176596158,410,2163,4743,42684,90.18437068778624,2573,50000
ecg_v1,0.6,0.15,0.15,150,0.014319809069212413,0.1326530612244898,0.007568406753347565,39,255,5114,44592,90.44607790229755,294,5948
ecg_v1,0.6,0.15,0.15,200,0.013382899628252789,0.15859030837004406,0.006986221618474675,36,191,5117,44656,90.41482176902353,227,4600
ecg_v1,0.65,0.05,0.1,0,0.09820193637621023,0.17091959557053443,0.06889190762662527,355,1722,4798,43125,91.24610902904877,2077,50000
ecg_v1,0.65,0.05,0.1,150,0.021319610365741593,0.2013888888888889,0.011255579274209199,58,230,5095,44617,91.20015936618526,288,6932
ecg_v1,0.65,0.05,0.1,200,0.015997023809523808,0.19282511210762332,0.00834465359984475,43,180,5110,44667,91.31407792361614,223,5466
ecg_v1,0.65,0.05,0.12,0,0.09884994523548742,0.1678289167828917,0.07005627789637105,361,1790,4792,43057,91.07469486759517,2151,50000
ecg_v1,0.65,0.05,0.12,150,0.020944332169759328,0.19655172413793104,0.011061517562584902,57,233,5096,44614,90.96370444285404,290,6633
ecg_v1,0.65,0.05,0.12,200,0.016366003347591595,0.19642857142857142,0.008538715311469047,44,180,5109,44667,91.13314365420769,224,5265
ecg_v1,0.65,0.05,0.15,0,0.10317887931034485,0.1686481726111845,0.07432563555210557,383,1888,4770,42959,90.79593160933739,2271,50000
ecg_v1,0.65,0.05,0.15,150,0.018736223365172666,0.17525773195876287,0.009897147292839123,51,240,5102,44607,90.80271930123891,291,6409
ecg_v1,0.65,0.05,0.15,200,0.014872652909462726,0.17699115044247787,0.007762468464971861,40,186,5113,44661,90.78385749428497,226,4955
ecg_v1,0.65,0.1,0.1,0,0.09444746869896571,0.1580865603644647,0.0673394139336309,347,1848,4806,42999,91.03022490971395,2195,50000
